Date et heure;25/08/2021 17:10:31
Type Camera;TPS
Identifiant;qsdf
Temps de jeu (s);19,43803
Nombres d'images;5
Cibles manquees;1
Longueur;10
Nombre  Virages;0
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;[TempSave]
Score;300
Tir Actif;Oui
Score Affiche;Oui
Vitesse;10
Force frein;1
Viseur colorise;Oui
Mode deplacement;Manuel
Personnage;Dog

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;3;2,007499;Non;Non;Oui;
02_N_Diapositive02.jpg;2;2,009552;Non;Non;Oui;
03_T1_Diapositive03.jpg;0;1,931111;Oui;Oui;Oui;
04Diapositive04.jpg;2;2,006005;Oui;Non;Non;
05_N_Diapositive05.jpg;1;2,004719;Non;Non;Oui;
